image,width,height,ext,ir_mode,vi_mode,group,ir_mean,vi_mean,ir_std,vi_std,ir_ag,vi_ag,ir_grad_gt_vi_ratio
00016N.png,640,480,.png,L,RGB,DN_N,0.07348524034023285,0.14794892072677612,0.05678914859890938,0.1456143856048584,0.007460996974259615,0.010004145093262196,0.512021484375
00055D.png,640,480,.png,L,RGB,DN_D,0.07234175503253937,0.3347160220146179,0.07120950520038605,0.28339120745658875,0.007946187630295753,0.029984811320900917,0.2956673177083333
00081D.png,640,480,.png,L,RGB,DN_D,0.07045063376426697,0.4270384609699249,0.0760461613535881,0.26972395181655884,0.007140857633203268,0.02162974141538143,0.306953125
00091D.png,640,480,.png,L,RGB,DN_D,0.049017440527677536,0.39660733938217163,0.07432398200035095,0.2414882481098175,0.006347043439745903,0.016260072588920593,0.22727864583333332
00095D.png,640,480,.png,L,RGB,DN_D,0.08886516094207764,0.48633602261543274,0.08026038110256195,0.28091588616371155,0.008861097507178783,0.02830313704907894,0.24908854166666666
00218D.png,640,480,.png,L,RGB,DN_D,0.1138138473033905,0.23996582627296448,0.06942637264728546,0.14182120561599731,0.0063578602857887745,0.013025255873799324,0.327724609375
00233D.png,640,480,.png,L,RGB,DN_D,0.12535610795021057,0.2581619918346405,0.06885313987731934,0.12564845383167267,0.00808756798505783,0.013995221816003323,0.41192708333333333
00241D.png,640,480,.png,L,RGB,DN_D,0.12534523010253906,0.4463709890842438,0.061441581696271896,0.1822967827320099,0.005741339176893234,0.026636255905032158,0.13484700520833334
00262D.png,640,480,.png,L,RGB,DN_D,0.11124346405267715,0.38736987113952637,0.04334840923547745,0.2711111903190613,0.004481018520891666,0.023421335965394974,0.18794270833333335
00283D.png,640,480,.png,L,RGB,DN_D,0.11709915101528168,0.3691276013851166,0.07144379615783691,0.24902676045894623,0.006870579440146685,0.020876137539744377,0.30591145833333333
00345D.png,640,480,.png,L,RGB,DN_D,0.14249593019485474,0.3667638599872589,0.10187078267335892,0.23421701788902283,0.009020408615469933,0.016324641183018684,0.380966796875
00379D.png,640,480,.png,L,RGB,DN_D,0.1244664117693901,0.41708189249038696,0.05723961070179939,0.23493875563144684,0.005905968602746725,0.021724948659539223,0.20237630208333332
00388D.png,640,480,.png,L,RGB,DN_D,0.11798407137393951,0.3859805166721344,0.05865051969885826,0.172801673412323,0.005793028511106968,0.022031383588910103,0.18831705729166667
00486D.png,640,480,.png,L,RGB,DN_D,0.0933665856719017,0.48090046644210815,0.06669292598962784,0.17758333683013916,0.009525218047201633,0.018067751079797745,0.3557942708333333
00526D.png,640,480,.png,L,RGB,DN_D,0.12709292769432068,0.396116703748703,0.09462005645036697,0.22865080833435059,0.014610543847084045,0.01760413683950901,0.5453515625
00533D.png,640,480,.png,L,RGB,DN_D,0.08442775160074234,0.4550802707672119,0.07045368105173111,0.21900397539138794,0.009806666523218155,0.01793554052710533,0.4723046875
00537D.png,640,480,.png,L,RGB,DN_D,0.08822248131036758,0.3755558133125305,0.09670975059270859,0.21809829771518707,0.009591560810804367,0.015110144391655922,0.45837565104166667
00551D.png,640,480,.png,L,RGB,DN_D,0.09153274446725845,0.47854432463645935,0.06554332375526428,0.1793578416109085,0.011985311284661293,0.01639692485332489,0.5471028645833333
00571D.png,640,480,.png,L,RGB,DN_D,0.11865783482789993,0.34571966528892517,0.08789427578449249,0.2227310687303543,0.012967225164175034,0.01793792098760605,0.4531966145833333
00606D.png,640,480,.png,L,RGB,DN_D,0.07757765799760818,0.42180636525154114,0.05559464916586876,0.20740771293640137,0.01093699224293232,0.02199706807732582,0.4312109375
00686N.png,640,480,.png,L,RGB,DN_N,0.05319548025727272,0.10560134053230286,0.041683606803417206,0.13488537073135376,0.005911099724471569,0.00909285619854927,0.5423372395833334
00695N.png,640,480,.png,L,RGB,DN_N,0.09273862093687057,0.14344824850559235,0.06691150367259979,0.16431306302547455,0.01061538327485323,0.009751645848155022,0.64791015625
00819N.png,640,480,.png,L,RGB,DN_N,0.0434706024825573,0.1357368379831314,0.04292767494916916,0.12978464365005493,0.005551447626203299,0.011263629421591759,0.39613932291666665
00828N.png,640,480,.png,L,RGB,DN_N,0.08254200965166092,0.16792890429496765,0.11844199895858765,0.2191881537437439,0.007830972783267498,0.010692873038351536,0.47568359375
00866N.png,640,480,.png,L,RGB,DN_N,0.10769826173782349,0.05253538861870766,0.06592586636543274,0.06215572729706764,0.015542854554951191,0.004559094551950693,0.8873274739583333
00910N.png,640,480,.png,L,RGB,DN_N,0.1378902643918991,0.1981852501630783,0.1347142904996872,0.24659036099910736,0.01650913618505001,0.012071657925844193,0.6627018229166667
00992N.png,640,480,.png,L,RGB,DN_N,0.06925275176763535,0.056302495300769806,0.04858147352933884,0.0806507021188736,0.009060229174792767,0.005209989380091429,0.7804557291666666
01000N.png,640,480,.png,L,RGB,DN_N,0.06726399809122086,0.07070812582969666,0.05307978019118309,0.09299378842115402,0.008812110871076584,0.005417150445282459,0.7356868489583334
01053N.png,640,480,.png,L,RGB,DN_N,0.09450244158506393,0.14519831538200378,0.0565471388399601,0.13356614112854004,0.009660892188549042,0.009879155084490776,0.6298795572916667
01174N.png,640,480,.png,L,RGB,DN_N,0.10341963171958923,0.12584543228149414,0.05621279031038284,0.1531253457069397,0.007441914640367031,0.00891098752617836,0.55662109375
01258N.png,640,480,.png,L,RGB,DN_N,0.05089433118700981,0.07869361340999603,0.04130163416266441,0.11156345158815384,0.005247849505394697,0.006557554472237825,0.5376627604166667
01290N.png,640,480,.png,L,RGB,DN_N,0.05722654238343239,0.14097321033477783,0.06094890832901001,0.1527232527732849,0.006099449470639229,0.010686345398426056,0.4059700520833333
01348N.png,640,480,.png,L,RGB,DN_N,0.05929117277264595,0.13529732823371887,0.04922002926468849,0.15174485743045807,0.006070394068956375,0.011532430537045002,0.3919173177083333
01352N.png,640,480,.png,L,RGB,DN_N,0.06941267848014832,0.1356016844511032,0.06148408353328705,0.17082437872886658,0.0076897297985851765,0.011610898189246655,0.4976041666666667
01376N.png,640,480,.png,L,RGB,DN_N,0.11088249087333679,0.11190299689769745,0.07713757455348969,0.11950104683637619,0.01001682598143816,0.006308367010205984,0.6523046875
